host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,3.5,2,1,NA,65,4,TRUE,65,8,8,8,8,7,7
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,1,2,1,NA,65,12,TRUE,75,9,8,9,9,7,8
436011,2011-03-11,within an hour,FALSE,1,1,Little Portugal,Private room,1,2,1,NA,69,208,TRUE,91,10,9,10,10,10,10
2671905,2012-06-18,N/A,FALSE,1,1,Waterfront Communities-The Island,Entire home/apt,1,2,2,NA,199,11,TRUE,94,10,7,10,9,10,9
2692759,2012-06-20,N/A,FALSE,1,1,Palmerston-Little Italy,Entire home/apt,1,6,2,NA,90,3,TRUE,100,10,10,10,10,9,9
2737251,2012-06-25,N/A,FALSE,0,0,High Park-Swansea,Entire home/apt,1.5,7,4,0,245,3,TRUE,93,10,9,10,10,10,9
227740,2010-09-07,N/A,FALSE,1,1,Palmerston-Little Italy,Entire home/apt,1,4,2,NA,99,1,TRUE,80,10,8,10,8,8,10
2811178,2012-07-02,within an hour,FALSE,1,1,Greenwood-Coxwell,Entire home/apt,1.5,6,3,NA,251,35,TRUE,91,9,8,10,10,10,9
377846,2011-02-05,within an hour,FALSE,11,11,East End-Danforth,Entire home/apt,1,7,3,NA,119,28,TRUE,86,10,9,10,10,9,9
2175675,2012-04-19,within an hour,FALSE,6,6,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,170,75,TRUE,97,10,10,10,10,10,10
2808386,2012-07-02,within a day,FALSE,1,1,Bay Street Corridor,Entire home/apt,1.5,3,1,NA,121,9,TRUE,100,10,10,10,10,10,10
1160065,2011-09-14,N/A,FALSE,1,1,Niagara,Entire home/apt,1,2,2,NA,130,13,TRUE,97,10,9,9,10,9,10
2929774,2012-07-13,N/A,FALSE,1,1,South Riverdale,Entire home/apt,1.5,3,2,NA,115,7,TRUE,97,10,10,10,10,10,10
2771272,2012-06-28,within a few hours,FALSE,3,3,Dufferin Grove,Entire home/apt,1,4,1,NA,90,196,TRUE,95,10,10,10,10,10,9
2980659,2012-07-18,N/A,FALSE,1,1,Woodbine Corridor,Private room,1.5,2,1,0,69,40,TRUE,93,9,10,10,10,9,9
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,3.5,2,1,NA,65,10,TRUE,68,7,7,8,7,5,7
1241161,2011-10-03,within an hour,TRUE,2,2,Dovercourt-Wallace Emerson-Junction,Private room,1.5,2,1,100,89,10,TRUE,100,10,9,10,10,10,9
1698603,2012-02-04,within an hour,TRUE,2,2,Roncesvalles,Shared room,1,1,1,0,70,3,TRUE,100,10,10,10,10,10,10
3178928,2012-08-06,N/A,FALSE,1,1,South Parkdale,Entire home/apt,3,5,3,NA,95,10,TRUE,84,9,9,10,10,8,9
3217095,2012-08-10,N/A,FALSE,1,1,South Parkdale,Entire home/apt,1,2,0,200,65,3,TRUE,80,9,8,10,9,9,7
574360,2011-05-10,within a day,FALSE,1,1,Junction Area,Entire home/apt,1,2,1,1100,121,5,TRUE,95,10,10,10,10,10,10
3289972,2012-08-17,within a day,FALSE,1,1,Morningside,Entire home/apt,1.5,8,4,0,251,12,TRUE,98,10,10,10,10,9,10
3299954,2012-08-18,N/A,FALSE,1,1,Kensington-Chinatown,Entire home/apt,1,2,1,NA,85,29,TRUE,96,10,10,10,10,10,9
3367744,2012-08-25,within a day,FALSE,0,0,Bay Street Corridor,Entire home/apt,2,4,2,NA,140,41,TRUE,96,10,9,10,10,10,9
3422913,2012-08-30,within a few hours,TRUE,1,1,Mount Pleasant West,Private room,1,1,1,NA,65,92,TRUE,96,10,10,10,10,10,10
2034186,2012-03-29,within a few hours,TRUE,1,1,Kensington-Chinatown,Private room,1,2,1,0,93,240,TRUE,97,10,10,10,10,10,10
3587917,2012-09-16,N/A,FALSE,1,1,High Park North,Entire home/apt,1,2,1,700,99,15,TRUE,100,10,10,10,10,10,10
3604846,2012-09-18,within a few hours,FALSE,5,5,Roncesvalles,Entire home/apt,1,4,1,NA,209,17,TRUE,91,9,9,10,10,10,9
3604846,2012-09-18,within a few hours,FALSE,5,5,High Park-Swansea,Entire home/apt,1,7,3,2000,345,19,TRUE,96,10,9,10,10,10,9
3604846,2012-09-18,within a few hours,FALSE,5,5,High Park-Swansea,Entire home/apt,1,5,2,NA,285,6,TRUE,85,10,10,10,10,10,9
1289097,2011-10-14,within an hour,FALSE,1,1,Waterfront Communities-The Island,Entire home/apt,1,2,1,800,144,3,TRUE,100,10,10,10,10,10,10
1919294,2012-03-13,within a few hours,FALSE,73,73,Bayview Village,Entire home/apt,2,3,1,NA,170,6,TRUE,80,9,9,9,10,10,9
3238718,2012-08-12,within an hour,FALSE,2,2,Waterfront Communities-The Island,Entire home/apt,1,3,2,NA,170,41,TRUE,99,10,10,10,10,10,10
1919294,2012-03-13,within a few hours,FALSE,73,73,Niagara,Entire home/apt,1,3,1,NA,170,13,TRUE,89,9,9,10,9,10,8
3783106,2012-10-06,within an hour,FALSE,1,1,Roncesvalles,Entire home/apt,2,6,4,NA,270,9,TRUE,100,10,10,10,10,10,9
